date_ordinal,date,store,menu,store_menu,menu_cluster,menu_cluster_label,pattern_group,pattern_group_label,sales,dow,month,quarter,is_month_start,is_month_end,season,sin_doy,cos_doy,sin_dow,cos_dow,is_weekend,is_holiday,day_type,_off_run_id,off_run_pos,is_peak_data
738521,2023-01-01,느티나무 셀프BBQ,1인 수저세트,느티나무 셀프BBQ_1인 수저세트,1,Weekday-Steady,0,Seasonal-Peak,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,1,0
738521,2023-01-01,연회장,Conference M8,연회장_Conference M8,0,Weekday-Steady,0,Seasonal-Peak,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,미라시아,핑크레몬에이드,미라시아_핑크레몬에이드,1,Weekday-Steady,3,Weekend-Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,라그로타,미션 서드 카베르네 쉬라,라그로타_미션 서드 카베르네 쉬라,1,Weekday-Steady,2,Weekend+Holiday Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,화담숲주막,병천순대,화담숲주막_병천순대,3,Seasonal-Peak,2,Weekend+Holiday Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,라그로타,Gls.Sileni,라그로타_Gls.Sileni,1,Weekday-Steady,2,Weekend+Holiday Heavy,3,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,카페테리아,아메리카노(HOT),카페테리아_아메리카노(HOT),3,Seasonal-Peak,1,Seasonal-Peak,140,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,담하,담하 한우 불고기,담하_담하 한우 불고기,3,Seasonal-Peak,3,Weekend-Heavy,61,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,미라시아,얼그레이 하이볼,미라시아_얼그레이 하이볼,3,Seasonal-Peak,3,Weekend-Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,라그로타,제로콜라,라그로타_제로콜라,1,Weekday-Steady,2,Weekend+Holiday Heavy,1,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,담하,한우 우거지 국밥,담하_한우 우거지 국밥,3,Seasonal-Peak,3,Weekend-Heavy,14,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,연회장,OPUS 2,연회장_OPUS 2,0,Weekday-Steady,0,Seasonal-Peak,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,느티나무 셀프BBQ,잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),1,Weekday-Steady,0,Seasonal-Peak,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,포레스트릿,아메리카노(HOT),포레스트릿_아메리카노(HOT),3,Seasonal-Peak,1,Seasonal-Peak,141,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,느티나무 셀프BBQ,콜라 (단체),느티나무 셀프BBQ_콜라 (단체),0,Weekday-Steady,0,Seasonal-Peak,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,포레스트릿,코카콜라,포레스트릿_코카콜라,3,Seasonal-Peak,1,Seasonal-Peak,164,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,카페테리아,짜장밥,카페테리아_짜장밥,3,Seasonal-Peak,1,Seasonal-Peak,17,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,카페테리아,공깃밥(추가),카페테리아_공깃밥(추가),3,Seasonal-Peak,1,Seasonal-Peak,78,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,카페테리아,수제 등심 돈까스,카페테리아_수제 등심 돈까스,3,Seasonal-Peak,1,Seasonal-Peak,172,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,담하,봉평메밀 물냉면,담하_봉평메밀 물냉면,3,Seasonal-Peak,3,Weekend-Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,느티나무 셀프BBQ,"대여료 30,000원","느티나무 셀프BBQ_대여료 30,000원",1,Weekday-Steady,0,Seasonal-Peak,9,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,담하,담하 한우 불고기 정식,담하_담하 한우 불고기 정식,3,Seasonal-Peak,3,Weekend-Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,화담숲카페,카페라떼 ICE,화담숲카페_카페라떼 ICE,3,Seasonal-Peak,2,Weekend+Holiday Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
738521,2023-01-01,미라시아,파스타면 추가(150g),미라시아_파스타면 추가(150g),1,Weekday-Steady,3,Weekend-Heavy,0,6,1,1,1,0,3,0.017201575,0.99985206,-0.7818315,0.6234898,1,1,2,1,2,0
